"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","1.2581137793419424E-5","19344","MORF4L1P2","false","MORF4L1P2"
"0.0","1.5013404619247813E-4","15144","APOA5","false","APOA5"
"0.0","1.9261053591862262E-4","14472","NAIF1","false","NAIF1"
"0.0","1.3700426797613364E-4","15405","CLEC1A","false","CLEC1A"
"0.0","5.28192082711499E-4","11365","UBE3D","false","UBE3D"
"0.0","6.219350651419885E-4","10857","DTX1","false","DTX1"
"0.0","0.002696459158149336","6962","SCN3B","false","SCN3B"
"0.0","4.824489284095481E-5","17591","ERICH4","false","ERICH4"
"0.0","1.6301657310046307E-4","14923","WNT7B","false","WNT7B"
"0.0","0.010546253453772787","847","PPP2R4","true","PPP2R4"
"0.0","0.004418177122195295","4650","DTX3L","false","DTX3L"
"0.0","0.010401269483257182","889","TGM1","true","TGM1"
"0.0","0.0015588308702882388","8428","VWA9","false","VWA9"
"0.0","0.0031827793508687518","6263","TDP1","false","TDP1"
"0.0","0.004149130866156156","5029","PARP9","false","PARP9"
"0.0","6.828251221328075E-5","17004","ADHFE1","false","ADHFE1"
"0.0","0.0018641230459283398","7965","MAT2B","false","MAT2B"
"0.0","0.007016689448543839","2443","MAT2A","false","MAT2A"
"0.0","3.590141074754716E-5","18487","LOC100128429","false","LOC100128429"
"0.0","0.00545870869318483","3512","ANK2","false","ANK2"
"0.0","0.010781611066129152","794","GUSBP5","true","GUSBP5"
"0.0","3.758852370306453E-4","12416","PLA2G12A","false","PLA2G12A"
"0.0","0.0068033766549671125","2597","USP34","false","USP34"
"0.0","0.0012326638141417834","8967","SIGMAR1","false","SIGMAR1"
"0.0","5.054973360187337E-4","11505","SLC6A3","false","SLC6A3"
"0.0","0.004820332060027849","4117","NKIRAS1","false","NKIRAS1"
"0.0","0.0024885817893408766","7217","IREB2","false","IREB2"
"0.0","0.008106719275620435","1793","NFKBIB","true","NFKBIB"
"0.0","0.0037234062670786394","5547","NNT","false","NNT"
"0.0","8.5396051026148E-4","9898","ALDH5A1","false","ALDH5A1"
"0.0","2.554102109718772E-4","13636","IL9R","false","IL9R"
"0.0","0.001679231108927362","8226","FRMD4A","false","FRMD4A"
"0.0","0.009764099286859297","1099","ZDHHC12","true","ZDHHC12"
"0.0","0.006451612069231847","2807","KLF9","false","KLF9"
"0.0","8.5552722094864E-4","9892","RAB32","false","RAB32"
"0.0","0.004391715842940308","4683","WDR86","false","WDR86"
