"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","3.2615470837509625E-5","18678","MORF4L1P2","false","MORF4L1P2"
"0.0","1.569761593227589E-4","15163","APOA5","false","APOA5"
"0.0","2.505937648604361E-4","13868","NAIF1","false","NAIF1"
"0.0","1.6061403631553403E-4","15103","CLEC1A","false","CLEC1A"
"0.0","5.607826786762202E-4","11450","UBE3D","false","UBE3D"
"0.0","7.2703187807063E-4","10696","DTX1","false","DTX1"
"0.0","0.0028475303661494927","6972","SCN3B","false","SCN3B"
"0.0","6.855982555565653E-5","17078","ERICH4","false","ERICH4"
"0.0","1.8194954384165998E-4","14763","WNT7B","false","WNT7B"
"0.0","0.008922318197768264","1575","PPP2R4","true","PPP2R4"
"0.0","0.004626928807540746","4654","DTX3L","false","DTX3L"
"0.0","0.009134212115906804","1499","TGM1","true","TGM1"
"0.0","0.004636127876767595","4643","VWA9","false","VWA9"
"0.0","6.866533183384844E-4","10853","TDP1","false","TDP1"
"0.0","0.004220173627875331","5256","PARP9","false","PARP9"
"0.0","7.156800428737113E-5","16995","ADHFE1","false","ADHFE1"
"0.0","0.004537310177095487","4761","MAT2B","false","MAT2B"
"0.0","0.0072489082197620455","2522","MAT2A","false","MAT2A"
"0.0","3.3681206169694325E-5","18603","LOC100128429","false","LOC100128429"
"0.0","0.006442149070329355","3046","ANK2","false","ANK2"
"0.0","0.010859117088774227","900","GUSBP5","true","GUSBP5"
"0.0","3.802595135937267E-4","12622","PLA2G12A","false","PLA2G12A"
"0.0","0.005105795219651987","4102","USP34","false","USP34"
"0.0","0.004749766650261596","4507","SIGMAR1","false","SIGMAR1"
"0.0","5.03319440378851E-4","11802","SLC6A3","false","SLC6A3"
"0.0","2.933055998120357E-4","13441","NKIRAS1","false","NKIRAS1"
"0.0","0.0024989605201011047","7426","IREB2","false","IREB2"
"0.0","0.011522969238283505","743","NFKBIB","true","NFKBIB"
"0.0","0.00377732523755478","5867","NNT","false","NNT"
"0.0","8.813902539424113E-4","10130","ALDH5A1","false","ALDH5A1"
"0.0","3.4084877626154185E-4","12964","IL9R","false","IL9R"
