diffusion_input,diffusion_output_heat,diffusion_output_rank,name,selected,shared name
0,1.15273412850054E-08,19706,TRIM61,true,TRIM61
0,0.00439061963376686,2301,NABP2,true,NABP2
0,4.26452437593273E-05,15027,IQCA1P1,true,IQCA1P1
0,6.8579069853472E-05,13629,ABHD17C,true,ABHD17C
0,0.00021847794660462,10281,CNPY3,true,CNPY3
0,0.000211745992883439,10355,WSB1,true,WSB1
0,0.00375554044618733,2793,SETD1A,true,SETD1A
0,5.84944752369011E-05,14089,MYOT,true,MYOT
0,0.001948130023417,5439,C10orf71,true,C10orf71
0,8.35064089659598E-05,13013,TNFRSF18,true,TNFRSF18
0,0.000158740236206732,11091,NABP1,true,NABP1
0,1.36447324424393E-05,17881,SAMD8,true,SAMD8
0,8.85345037883584E-06,18588,OR13C4,true,OR13C4
0,0.00272284300956746,4179,ZNF592,true,ZNF592
0,0.00280288848881155,4096,ACOT1,true,ACOT1
0,0.000150635860332097,11260,CST9L,true,CST9L
0,2.77067657628453E-05,16162,SNORD28,true,SNORD28
0,0.00403901817223113,2567,SIN3B,true,SIN3B
0,0.00019106095841078,10605,SLC22A2,true,SLC22A2
0,0.00488321744085517,1907,ZNF687,true,ZNF687
0,2.72319542868511E-05,16204,SLC17A9,true,SLC17A9
0,2.47002991689581E-06,19309,PPAPDC1B,true,PPAPDC1B
0,7.9197835666732E-05,13196,STOX1,true,STOX1
0,1.29113079069904E-05,17948,CFAP70,true,CFAP70
0,3.0950020795932E-05,15884,ZNF18,true,ZNF18
0,0.00267519892644682,4223,ACTG2,true,ACTG2
0,0.000412932521460535,9078,EPHX1,true,EPHX1
0,0.00324039873390554,3414,ARHGAP25,true,ARHGAP25
0,0.000240358964225291,10050,PNMA5,true,PNMA5
0,5.39508784127509E-05,14344,C9orf85,true,C9orf85
0,0.00188052652503511,5771,PRLR,true,PRLR
0,6.50636685399198E-05,13773,ZNF761,true,ZNF761
0,0.000282620520248199,9711,MTMR2,true,MTMR2
0,0.00446061829667883,2248,SBF1,true,SBF1
0,7.32610516580897E-05,13410,ZNF14,true,ZNF14
0,0.00150754314365525,7127,PHF11,true,PHF11
0,0.000256413309813445,9916,PALM2-AKAP2,true,PALM2-AKAP2
0,0.00017667034445124,10797,LAMC3,true,LAMC3
0,0.000375679102920911,9207,MADD,true,MADD
0,0.000144956413426461,11382,POLR3GL,true,POLR3GL
0,3.07105746746631E-05,15902,LOC728763,true,LOC728763
0,1.87299434944487E-05,16985,ESX1,true,ESX1
0,3.29884116004811E-05,15719,UGT2A3,true,UGT2A3
0,0.00290508032823701,3973,GLI1,true,GLI1
0,0.0064041415154009,1222,YES1,true,YES1
0,9.72405654426119E-05,12525,FBXO33,true,FBXO33
0,4.77014040566532E-05,14691,PLEKHM2,true,PLEKHM2
0,4.18162964651156E-07,19523,FAM90A5P,true,FAM90A5P
0,0.00186615163335479,5835,KATNB1,true,KATNB1
0,0.000356554618401756,9293,SOX10,true,SOX10
0,2.66766968218637E-08,19693,UGT2A2,true,UGT2A2
0,4.18162964651156E-07,19522,FAM90A26,true,FAM90A26
0,4.57978850858917E-05,14818,TGIF2-C20orf24,true,TGIF2-C20orf24
0,2.70197529554777E-05,16221,CYP4F12,true,CYP4F12
0,6.20052690731365E-05,13931,CACNA1B,true,CACNA1B
0,0.00921132244095193,558,HMGB1,true,HMGB1
0,0.00250255007914394,4381,GTF2E2,true,GTF2E2
0,0.00266945348258948,4228,SIGLEC6,true,SIGLEC6
0,0.000114860195880219,12018,SETD4,true,SETD4
0,4.14042539250893E-05,15103,ENTPD3,true,ENTPD3
0,0.000152734820904654,11212,SLC43A3,true,SLC43A3
0,0.000401019158756536,9122,NUDT19,true,NUDT19
0,4.45272713033223E-05,14905,C6orf58,true,C6orf58
