"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","1.2898722751819285E-8","19707","TRIM61","true","TRIM61"
"0.0","0.004843666615425404","2073","NABP2","true","NABP2"
"0.0","4.2521435173280286E-5","15085","IQCA1P1","true","IQCA1P1"
"0.0","5.500740779855507E-5","14351","ABHD17C","true","ABHD17C"
"0.0","2.3247631126682188E-4","10329","CNPY3","true","CNPY3"
"0.0","2.1340029140193086E-4","10534","WSB1","true","WSB1"
"0.0","0.005644936302206122","1572","SETD1A","true","SETD1A"
"0.0","7.464125645128689E-5","13469","MYOT","true","MYOT"
"0.0","3.3160568312318105E-5","15736","C10orf71","true","C10orf71"
"0.0","8.337250070300202E-5","13124","TNFRSF18","true","TNFRSF18"
"0.0","6.694717209415318E-4","8749","NABP1","true","NABP1"
"0.0","1.3585868620683633E-5","17862","SAMD8","true","SAMD8"
"0.0","1.0104782201756739E-5","18358","OR13C4","true","OR13C4"
"0.0","0.0027286801118019816","4272","ZNF592","true","ZNF592"
"0.0","0.0015459552509532158","7075","ACOT1","true","ACOT1"
"0.0","1.668247367729271E-4","11115","CST9L","true","CST9L"
"0.0","2.4820016358616372E-5","16439","SNORD28","true","SNORD28"
"0.0","0.004482146439990733","2353","SIN3B","true","SIN3B"
"0.0","1.917355329122602E-4","10763","SLC22A2","true","SLC22A2"
"0.0","0.004901023119542989","2024","ZNF687","true","ZNF687"
"0.0","3.2707269368198425E-5","15775","SLC17A9","true","SLC17A9"
"0.0","2.4780039291724415E-6","19350","PPAPDC1B","true","PPAPDC1B"
"0.0","8.067225006674219E-5","13223","STOX1","true","STOX1"
"0.0","1.112051109391379E-5","18203","CFAP70","true","CFAP70"
"0.0","2.6181108863497548E-5","16318","ZNF18","true","ZNF18"
"0.0","0.002656431158797414","4349","ACTG2","true","ACTG2"
"0.0","0.0016042066714265688","6886","EPHX1","true","EPHX1"
"0.0","0.0032604661521128163","3540","ARHGAP25","true","ARHGAP25"
"0.0","2.620021247618841E-4","10077","PNMA5","true","PNMA5"
"0.0","5.774503886716874E-5","14226","C9orf85","true","C9orf85"
"0.0","1.1529077978995894E-4","12145","PRLR","true","PRLR"
"0.0","6.472562099806688E-5","13900","ZNF761","true","ZNF761"
"0.0","2.984350549407241E-4","9846","MTMR2","true","MTMR2"
"0.0","0.007506157973644428","904","SBF1","true","SBF1"
"0.0","7.12809358497267E-5","13600","ZNF14","true","ZNF14"
"0.0","2.874767674767192E-4","9914","PHF11","true","PHF11"
"0.0","2.510332262097879E-4","10158","PALM2-AKAP2","true","PALM2-AKAP2"
"0.0","1.731081742617759E-4","11013","LAMC3","true","LAMC3"
"0.0","3.591365404082599E-4","9528","MADD","true","MADD"
"0.0","1.4561389980699438E-4","11511","POLR3GL","true","POLR3GL"
"0.0","3.3557769409150904E-5","15698","LOC728763","true","LOC728763"
"0.0","1.5238436289135692E-5","17604","ESX1","true","ESX1"
"0.0","3.33738560298363E-5","15715","UGT2A3","true","UGT2A3"
"0.0","0.002089924409549739","5094","GLI1","true","GLI1"
"0.0","0.006391847104506306","1252","YES1","true","YES1"
"0.0","1.0509667843829896E-4","12417","FBXO33","true","FBXO33"
"0.0","4.963139397929131E-5","14620","PLEKHM2","true","PLEKHM2"
"0.0","4.97399088318293E-7","19528","FAM90A5P","true","FAM90A5P"
"0.0","0.003559763110184323","3142","KATNB1","true","KATNB1"
"0.0","3.913068177387299E-4","9430","SOX10","true","SOX10"
"0.0","2.6867616104142353E-8","19693","UGT2A2","true","UGT2A2"
"0.0","4.97399088318293E-7","19527","FAM90A26","true","FAM90A26"
"0.0","4.4359197212714705E-5","14968","TGIF2-C20orf24","true","TGIF2-C20orf24"
"0.0","2.0019197529311253E-5","16860","CYP4F12","true","CYP4F12"
"0.0","4.9949887773484973E-5","14608","CACNA1B","true","CACNA1B"
"0.0","0.008618178544664198","660","HMGB1","true","HMGB1"
"0.0","0.002911933391224572","4071","GTF2E2","true","GTF2E2"
"0.0","0.002673232046349661","4329","SIGLEC6","true","SIGLEC6"
"0.0","1.3208323500061073E-4","11780","SETD4","true","SETD4"
"0.0","4.306319909854484E-5","15047","ENTPD3","true","ENTPD3"
"0.0","1.5071768689484696E-4","11416","SLC43A3","true","SLC43A3"
"0.0","4.3033301100936044E-4","9296","NUDT19","true","NUDT19"
"0.0","4.4828224287537136E-5","14930","C6orf58","true","C6orf58"
"0.0","6.791198841240025E-5","13750","ENTPD5","true","ENTPD5"
"0.0","0.002562375852990677","4452","TAF4","true","TAF4"
"0.0","2.8208278674678546E-4","9940","BIRC7","true","BIRC7"
"0.0","1.6469936726798102E-5","17201","TMEM190","true","TMEM190"
"0.0","0.004230342466371043","2540","TAF7","true","TAF7"
"0.0","4.3797953234637296E-5","15014","CD69","true","CD69"
"0.0","1.07140641297937E-4","12358","TAF7L","true","TAF7L"
"0.0","4.4008044936197676E-5","15002","FCRL5","true","FCRL5"
"0.0","1.4815635676984995E-5","17679","SBDSP1","true","SBDSP1"
"0.0","0.0036602164549215054","3005","COL6A1","true","COL6A1"
"0.0","1.04210472911115E-4","12444","GRAMD1C","true","GRAMD1C"
"0.0","2.779240870417648E-6","19325","LOC100506688","true","LOC100506688"
"0.0","9.311218352171514E-4","8353","SLC25A4","true","SLC25A4"
"0.0","0.0014552736241652028","7327","FLRT1","true","FLRT1"
"0.0","4.832979585807431E-5","14690","TMEM184C","true","TMEM184C"
"0.0","5.299110840917362E-5","14456","SCGB1A1","true","SCGB1A1"
"0.0","0.0019588096281245846","5551","PCDHB7","true","PCDHB7"
"0.0","0.009486954142640317","500","TRRAP","true","TRRAP"
"0.0","0.0019669055120464605","5509","MAP2K4","true","MAP2K4"
"0.0","0.001972444795310502","5483","FAM162A","true","FAM162A"
"0.0","0.002390821575549317","4648","SUPT3H","true","SUPT3H"
"0.0","0.004999988329884891","1956","FLNC","true","FLNC"
