"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","4.154023343014659E-5","19346","MORF4L1P2","false","MORF4L1P2"
"0.0","4.4438633718182766E-4","14764","APOA5","false","APOA5"
"0.0","4.6558863909757604E-4","14630","NAIF1","false","NAIF1"
"0.0","3.7583390337196697E-4","15207","CLEC1A","false","CLEC1A"
"0.0","0.0013647160807419676","11135","UBE3D","false","UBE3D"
"0.0","0.0014979485556796304","10807","DTX1","false","DTX1"
"0.0","0.003578522176623072","7580","SCN3B","false","SCN3B"
"0.0","1.518272064458464E-4","17237","ERICH4","false","ERICH4"
"0.0","3.7724215289407426E-4","15192","WNT7B","false","WNT7B"
"0.0","0.011583144682243772","927","PPP2R4","true","PPP2R4"
"0.0","0.006878793251224659","4295","DTX3L","false","DTX3L"
"0.0","0.011950692954352714","795","TGM1","true","TGM1"
"0.0","0.003396746687200264","7797","VWA9","false","VWA9"
"0.0","0.00440250346522329","6691","TDP1","false","TDP1"
"0.0","0.006545853183040818","4614","PARP9","false","PARP9"
"0.0","1.8170486138597007E-4","16885","ADHFE1","false","ADHFE1"
"0.0","0.003957011983093527","7128","MAT2B","false","MAT2B"
"0.0","0.009296839190399468","2143","MAT2A","false","MAT2A"
"0.0","8.093133810565026E-5","18413","LOC100128429","false","LOC100128429"
"0.0","0.007593025900713024","3625","ANK2","false","ANK2"
"0.0","0.015780102324217952","293","GUSBP5","true","GUSBP5"
"0.0","8.608348718270742E-4","12740","PLA2G12A","false","PLA2G12A"
"0.0","0.008905446578268798","2455","USP34","false","USP34"
"0.0","0.0026813000802920687","8722","SIGMAR1","false","SIGMAR1"
"0.0","0.0012406057549189933","11457","SLC6A3","false","SLC6A3"
"0.0","0.008960007598050213","2423","NKIRAS1","false","NKIRAS1"
"0.0","0.003721904923575888","7396","IREB2","false","IREB2"
"0.0","0.010107653263781251","1606","NFKBIB","true","NFKBIB"
"0.0","0.005791128759088323","5295","NNT","false","NNT"
"0.0","0.002019618280843435","9711","ALDH5A1","false","ALDH5A1"
"0.0","6.888855442808009E-4","13470","IL9R","false","IL9R"
"0.0","0.0020432478911656467","9672","FRMD4A","false","FRMD4A"
"0.0","0.012988843657852649","559","ZDHHC12","true","ZDHHC12"
"0.0","0.00851448566207045","2759","KLF9","false","KLF9"
"0.0","0.002098291215144038","9569","RAB32","false","RAB32"
"0.0","0.0071405541517212245","4060","WDR86","false","WDR86"
"0.0","0.007216819473724009","3983","MRPL37","false","MRPL37"
"0.0","0.0028814335620959922","8446","AKAP2","false","AKAP2"
"0.0","9.33103350425878E-4","12462","AKAP6","false","AKAP6"
"0.0","3.8607866562689067E-4","15128","EPHA10","false","EPHA10"
"0.0","2.0343590187993254E-4","16663","HLA-DOB","false","HLA-DOB"
"0.0","0.009232058173639437","2193","NAA40","false","NAA40"
"0.0","0.0027673732465021985","8593","CAPG","false","CAPG"
"0.0","0.0018821322103585768","9973","AKAP7","false","AKAP7"
"0.0","3.272148728137494E-4","15545","PNPLA3","false","PNPLA3"
"0.0","0.0058162779373427944","5270","PRKAR2A","false","PRKAR2A"
"0.0","1.061347466797677E-4","17818","ECM2","false","ECM2"
"0.0","0.004558999662834039","6512","ACTR8","false","ACTR8"
"0.0","1.2669484742062516E-4","17535","SNORD6","false","SNORD6"
"0.0","9.107051256183813E-4","12558","MAOB","false","MAOB"
"0.0","0.0069212953254249015","4256","KLHL14","false","KLHL14"
"0.0","0.0011803196170793707","11654","ADORA2B","false","ADORA2B"
"0.0","0.0010921016977489166","11908","KRTAP10-11","false","KRTAP10-11"
"0.0","5.579569934043976E-4","14088","LOC100507703","false","LOC100507703"
"0.0","0.0038138322488235612","7283","RAB23","false","RAB23"
"0.0","0.008124644992292856","3113","HMGCS1","false","HMGCS1"
"0.0","0.005030639976709633","6012","PAIP1","false","PAIP1"
"0.0","0.0029348671251046986","8370","KRTAP19-7","false","KRTAP19-7"
"0.0","3.2900019199227774E-4","15526","CCM2L","false","CCM2L"
"0.0","0.002669049186543586","8740","GUCY1B3","false","GUCY1B3"
"0.0","0.0032942728315342234","7928","FAM171A2","false","FAM171A2"
"0.0","5.052479156765252E-4","14389","PPAP2A","false","PPAP2A"
"0.0","0.007841733530012888","3386","RGPD1","false","RGPD1"
"0.0","1.229559316292647E-4","17581","ZNF500","false","ZNF500"
"0.0","1.2669484742062516E-4","17534","LOC642852","false","LOC642852"
"0.0","3.782719742143355E-4","15184","CCSAP","false","CCSAP"
"0.0","0.002738121742691925","8631","NOS3","false","NOS3"
"0.0","0.011110225673835322","1098","LNPEP","true","LNPEP"
"0.0","0.001171027290205565","11682","BCAT2","false","BCAT2"
"0.0","0.0017329698623520754","10275","KIF2B","false","KIF2B"
"0.0","0.0019656057904509465","9811","FBLIM1","false","FBLIM1"
"0.0","0.006479061150187514","4674","FERMT2","false","FERMT2"
"0.0","3.135991797186188E-4","15661","CCRL2","false","CCRL2"
"0.0","0.0024289296395862557","9081","INSRR","false","INSRR"
"0.0","0.010525792503637738","1358","MYLK2","true","MYLK2"
"0.0","6.318876565342811E-4","13750","CES1","false","CES1"
"0.0","0.008715932240763198","2591","TPP1","false","TPP1"
"0.0","9.27052475766269E-4","12481","PLAC9","false","PLAC9"
"0.0","1.747738538071543E-4","16955","TSGA13","false","TSGA13"
"0.0","5.483697711295985E-4","14153","SAC3D1","false","SAC3D1"
"0.0","6.311100294112799E-4","13753","CLIC2","false","CLIC2"
"0.0","1.2669484742062516E-4","17533","SNHG6","false","SNHG6"
"0.0","0.002564404384300402","8884","TRAPPC2","false","TRAPPC2"
"0.0","0.004686892705970889","6371","TMBIM6","false","TMBIM6"
"0.0","9.909393502625818E-5","17921","MEIG1","false","MEIG1"
"0.0","5.949478967327445E-4","13910","C1orf122","false","C1orf122"
"0.0","9.590157228632226E-4","12371","ADRA2C","false","ADRA2C"
"0.0","0.0013138597893610966","11263","ADAMTS12","false","ADAMTS12"
"0.0","0.0037072890620288854","7415","GFER","false","GFER"
"0.0","2.566664751347528E-4","16151","ADRA2B","false","ADRA2B"
"0.0","9.6050457442321E-4","12362","MUC20","false","MUC20"
"0.0","0.004574255732043061","6497","EI24","false","EI24"
"0.0","0.002640366282145995","8784","HELZ2","false","HELZ2"
"0.0","0.00376792165590127","7327","PCBP3","false","PCBP3"
"0.0","0.004550909710553014","6524","INTS12","false","INTS12"
"0.0","8.797026224320522E-4","12664","CACNG1","false","CACNG1"
"0.0","0.010825463490340003","1214","TIRAP","true","TIRAP"
"0.0","1.061347466797677E-4","17817","DNM1P34","false","DNM1P34"
"0.0","0.002170890399073341","9455","INTS10","false","INTS10"
"0.0","0.002882231785897269","8442","INTS9","false","INTS9"
"0.0","1.6311256972870335E-4","17096","IGHV1-18","false","IGHV1-18"
"0.0","0.008295064120286206","2942","INTS8","false","INTS8"
"0.0","1.2669484742062516E-4","17532","NDUFC1","false","NDUFC1"
"0.0","5.82637020782155E-4","13960","VWA3B","false","VWA3B"
"0.0","0.00565061956100085","5419","ZNF197","false","ZNF197"
"0.0","8.903399682278295E-5","18228","RBMY1E","false","RBMY1E"
"0.0","0.0036573273161071137","7475","INTS6","false","INTS6"
"0.0","0.003314237767922537","7910","NME1-NME2","false","NME1-NME2"
"0.0","7.340219759434036E-4","13276","TMED6","false","TMED6"
"0.0","0.0036006824595984544","7553","INTS5","false","INTS5"
"0.0","0.00611901769878396","4988","HTR2A","false","HTR2A"
"0.0","5.3024089897820646E-5","19149","FAM72A","false","FAM72A"
"0.0","4.0475111568721636E-5","19360","IGHV3-30","false","IGHV3-30"
"0.0","0.01197418366397048","786","SLFN11","true","SLFN11"
"0.0","0.004208075531897942","6875","INTS2","false","INTS2"
"0.0","1.2669484742062516E-4","17531","SNORA4","false","SNORA4"
"0.0","0.0037512468800197495","7350","CAGE1","false","CAGE1"
"0.0","4.501989100677747E-4","14723","TPM3P4","false","TPM3P4"
"0.0","0.007122127520822327","4072","CAST","false","CAST"
"0.0","5.768251589284979E-4","13991","TBC1D13","false","TBC1D13"
"0.0","1.2669484742062516E-4","17530","SNORD31","false","SNORD31"
"0.0","0.0030983928753165685","8151","ERLEC1","false","ERLEC1"
"0.0","0.010282690632773208","1503","NACA","true","NACA"
"0.0","1.7023978159666123E-4","17001","LINC00493","false","LINC00493"
"0.0","0.010471238563378303","1388","MAGEA9","true","MAGEA9"
"0.0","4.0475111568721636E-5","19359","IGHV3-13","false","IGHV3-13"
"0.0","0.002573494074972787","8871","CALB1","false","CALB1"
"0.0","9.021318305364882E-6","19608","C18orf42","false","C18orf42"
"0.0","0.0013989465982911084","11049","ZNF74","false","ZNF74"
"0.0","0.010275162201252734","1507","HEMGN","true","HEMGN"
"0.0","0.001598816385718213","10554","SNRPGP15","false","SNRPGP15"
"0.0","0.0015783728332756353","10595","DTYMK","false","DTYMK"
"0.0","1.2669484742062516E-4","17529","SNORD2","false","SNORD2"
"0.0","0.004303936728559499","6779","HSP90AB3P","false","HSP90AB3P"
"0.0","4.0475111568721636E-5","19358","LOC440786","false","LOC440786"
"0.0","0.00675831519260927","4401","NUSAP1","false","NUSAP1"
"0.0","0.00495116674759445","6099","ACTR5","false","ACTR5"
"0.0","0.0015336712436961517","10704","TEKT1","false","TEKT1"
"0.0","7.023049561660653E-4","13409","CD2","false","CD2"
"0.0","7.215865142596644E-4","13322","UBE2NL","false","UBE2NL"
"0.0","0.004666139564260307","6398","CD47","false","CD47"
