"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","9.270762784016677E-5","18191","MORF4L1P2","false","MORF4L1P2"
"0.0","4.6830217962074593E-4","14711","APOA5","false","APOA5"
"0.0","6.060328571633565E-4","14011","NAIF1","false","NAIF1"
"0.0","4.365051516797266E-4","14911","CLEC1A","false","CLEC1A"
"0.0","0.0014405801752010922","11210","UBE3D","false","UBE3D"
"0.0","0.0016950386682863415","10619","DTX1","false","DTX1"
"0.0","0.0038932190967541284","7576","SCN3B","false","SCN3B"
"0.0","2.041157282728543E-4","16716","ERICH4","false","ERICH4"
"0.0","4.2957230392425564E-4","14952","WNT7B","false","WNT7B"
"0.0","0.010129836136016987","1823","PPP2R4","true","PPP2R4"
"0.0","0.007238122614160852","4289","DTX3L","false","DTX3L"
"0.0","0.01041737691782451","1640","TGM1","true","TGM1"
"0.0","0.007198649423671732","4334","VWA9","false","VWA9"
"0.0","0.0016052547479923987","10815","TDP1","false","TDP1"
"0.0","0.006662051722723761","4875","PARP9","false","PARP9"
"0.0","1.8655769024559778E-4","16914","ADHFE1","false","ADHFE1"
"0.0","0.0068465170547063","4678","MAT2B","false","MAT2B"
"0.0","0.009650435116759736","2163","MAT2A","false","MAT2A"
"0.0","7.908910907034369E-5","18663","LOC100128429","false","LOC100128429"
"0.0","0.008412556845403813","3174","ANK2","false","ANK2"
"0.0","0.015941090927737295","293","GUSBP5","true","GUSBP5"
"0.0","8.64257909930976E-4","12935","PLA2G12A","false","PLA2G12A"
"0.0","0.00781273689643456","3719","USP34","false","USP34"
"0.0","0.007603419384262605","3922","SIGMAR1","false","SIGMAR1"
"0.0","0.001252948470124732","11706","SLC6A3","false","SLC6A3"
"0.0","7.229262630891038E-4","13511","NKIRAS1","false","NKIRAS1"
"0.0","0.0037727917280497452","7697","IREB2","false","IREB2"
"0.0","0.014709714531453064","385","NFKBIB","true","NFKBIB"
"0.0","0.005966500006789188","5556","NNT","false","NNT"
"0.0","0.0020772275717115575","9908","ALDH5A1","false","ALDH5A1"
"0.0","9.124348998195343E-4","12762","IL9R","false","IL9R"
"0.0","7.514858552936387E-4","13392","FRMD4A","false","FRMD4A"
"0.0","0.013329815699289461","591","ZDHHC12","true","ZDHHC12"
"0.0","0.008716485706359824","2908","KLF9","false","KLF9"
"0.0","0.0020952116179434334","9879","RAB32","false","RAB32"
"0.0","0.007214234273529976","4315","WDR86","false","WDR86"
"0.0","0.0076694728088800585","3858","MRPL37","false","MRPL37"
"0.0","0.003037445060159184","8562","AKAP2","false","AKAP2"
"0.0","9.641311529739986E-4","12579","AKAP6","false","AKAP6"
"0.0","3.6979861522724747E-4","15352","EPHA10","false","EPHA10"
"0.0","0.00329801529459873","8238","HLA-DOB","false","HLA-DOB"
"0.0","0.009409802162601266","2363","NAA40","false","NAA40"
"0.0","0.00287207440442155","8769","CAPG","false","CAPG"
"0.0","0.0017778918465505052","10445","AKAP7","false","AKAP7"
"0.0","3.145149294212218E-4","15755","PNPLA3","false","PNPLA3"
"0.0","0.006111981611776292","5404","PRKAR2A","false","PRKAR2A"
"0.0","1.0412847917440494E-4","17911","ECM2","false","ECM2"
"0.0","0.004918309222288047","6568","ACTR8","false","ACTR8"
"0.0","1.2655375478836276E-4","17577","SNORD6","false","SNORD6"
"0.0","0.007408085970165658","4132","MAOB","false","MAOB"
"0.0","0.007199645949946527","4331","KLHL14","false","KLHL14"
"0.0","0.0014810630972402262","11102","ADORA2B","false","ADORA2B"
"0.0","0.001108142184179891","12095","KRTAP10-11","false","KRTAP10-11"
"0.0","6.173212283774797E-4","13963","LOC100507703","false","LOC100507703"
"0.0","0.0038072197830776645","7654","RAB23","false","RAB23"
"0.0","0.0033770763494986107","8136","HMGCS1","false","HMGCS1"
"0.0","0.0053878758446736655","6102","PAIP1","false","PAIP1"
"0.0","0.0030080223527543535","8597","KRTAP19-7","false","KRTAP19-7"
"0.0","3.3379735486667716E-4","15611","CCM2L","false","CCM2L"
"0.0","0.002779315641745274","8889","GUCY1B3","false","GUCY1B3"
"0.0","0.004153892621369376","7313","FAM171A2","false","FAM171A2"
"0.0","5.314715482423509E-4","14405","PPAP2A","false","PPAP2A"
"0.0","0.004067761911929681","7394","RGPD1","false","RGPD1"
"0.0","1.0988221731753387E-4","17796","ZNF500","false","ZNF500"
"0.0","1.2655375478836276E-4","17576","LOC642852","false","LOC642852"
"0.0","3.9484811789721933E-4","15180","CCSAP","false","CCSAP"
"0.0","0.0027466899124467432","8936","NOS3","false","NOS3"
"0.0","0.01033065551623315","1701","LNPEP","true","LNPEP"
"0.0","0.001169484148108916","11920","BCAT2","false","BCAT2"
"0.0","0.004553994200681606","6917","KIF2B","false","KIF2B"
"0.0","0.0043447987060664505","7125","FBLIM1","false","FBLIM1"
"0.0","0.007053127508182887","4479","FERMT2","false","FERMT2"
"0.0","2.2128450530286658E-4","16560","CCRL2","false","CCRL2"
"0.0","0.0025782021943898553","9157","INSRR","false","INSRR"
"0.0","0.010758078255038123","1456","MYLK2","true","MYLK2"
"0.0","6.339010758751116E-4","13897","CES1","false","CES1"
"0.0","0.009291688945738254","2460","TPP1","false","TPP1"
"0.0","0.0010397707984273763","12314","PLAC9","false","PLAC9"
"0.0","1.551918699486182E-4","17254","TSGA13","false","TSGA13"
"0.0","6.115788246638243E-4","13985","SAC3D1","false","SAC3D1"
"0.0","6.705051300587184E-4","13728","CLIC2","false","CLIC2"
"0.0","1.2655375478836276E-4","17575","SNHG6","false","SNHG6"
"0.0","0.0051882162122567676","6297","TRAPPC2","false","TRAPPC2"
"0.0","0.004858768302825671","6623","TMBIM6","false","TMBIM6"
