,Degree,Betweenness,Eigenvector Centrality,Closeness Centrality,Ratio Btw/Degree
JAK2,9,0.0011469765506486598,0.028179419844287203,0.449468085106383,0.0001274418389609622
RUNX1,19,0.0022480808575525203,0.06721885387102336,0.4747191011235955,0.00011832004513434317
DNMT1,27,0.002849807573156183,0.11247984351333923,0.5075075075075075,0.00010554842863541418
RARA,13,0.0012824366517560832,0.04313358510245711,0.43896103896103894,9.864897321200641e-05
MDM4,15,0.00143545629869492,0.04820295170592193,0.45675675675675675,9.569708657966133e-05
PALB2,9,0.0008481933300785024,0.02613177368214712,0.4132029339853301,9.424370334205582e-05
CDKN1B,15,0.001304396826325929,0.051715428529270614,0.4604904632152589,8.695978842172861e-05
CUX1,10,0.0008324444291987148,0.03265330527947546,0.43556701030927836,8.324444291987148e-05
TBC1D9,4,0.0003286075315274808,0.006080395913234725,0.3665943600867679,8.21518828818702e-05
IRF1,9,0.0007322410817186121,0.03105440356486391,0.4300254452926209,8.13601201909569e-05
ASXL1,10,0.0007256686898025926,0.033557711267392064,0.43444730077120824,7.256686898025926e-05
DAPK1,6,0.0004172014661782355,0.018797272059242504,0.42144638403990026,6.953357769637259e-05
PSMB6,10,0.0006836828429118862,0.04033816458589975,0.45675675675675675,6.836828429118862e-05
RPS14,20,0.0012917666358109423,0.08878415543095704,0.49127906976744184,6.458833179054712e-05
TOP2A,28,0.0018077687488778596,0.1175388339170748,0.5029761904761905,6.45631696027807e-05
MLF1,4,0.0002570369191122844,0.01130525511279408,0.39952718676122934,6.42592297780711e-05
NUP98,11,0.0006720503156089932,0.04591165801770782,0.449468085106383,6.109548323718121e-05
NFATC2,16,0.0009598478278155714,0.05747711638303173,0.45066666666666666,5.999048923847321e-05
CHAF1B,16,0.0009545971340253442,0.06462234509950257,0.4642857142857143,5.966232087658401e-05
FLT3,3,0.0001780858141836796,0.008224835229913881,0.38496583143507973,5.936193806122653e-05
MCL1,8,0.00046945813722185195,0.02718453205858938,0.4401041666666667,5.8682267152731494e-05
SYT1,2,0.00011061784793372354,0.0017261227343481904,0.3219047619047619,5.530892396686177e-05
CTC1,2,0.00010781303010990745,0.0059403675850032405,0.3722466960352423,5.3906515054953726e-05
GATA2,9,0.0004686272956256755,0.02948858945928807,0.41935483870967744,5.2069699513963944e-05
SAP130,15,0.0007542535021201901,0.05847966973412523,0.4470899470899471,5.0283566808012675e-05
FANCG,11,0.0005492448512634795,0.02749741587463068,0.41935483870967744,4.993135011486177e-05
YY1,19,0.0009407573917466828,0.07439156091506273,0.46174863387978143,4.9513546934035935e-05
PAFAH1B3,4,0.00017538402161896923,0.014077429924972306,0.4152334152334152,4.384600540474231e-05
SUB1,16,0.0006615826579158673,0.06681043995519402,0.4747191011235955,4.1348916119741704e-05
PRAME,6,0.00021676898495456135,0.020915208874752646,0.42462311557788945,3.6128164159093556e-05
WNK1,3,8.519143496008736e-05,0.011659712919780796,0.39485981308411217,2.839714498669579e-05
GEM,2,5.553220224836234e-05,0.006130126764585675,0.3681917211328976,2.776610112418117e-05
UBE2T,6,0.00015273607203421726,0.021748814162568863,0.40625,2.5456012005702877e-05
MECP2,14,0.00033461531293376106,0.058824030375847054,0.46174863387978143,2.3901093780982932e-05
KMT2A,19,0.0004483709130197313,0.08207588756208747,0.46944444444444444,2.3598469106301645e-05
PLCE1,3,6.795496572433845e-05,0.012591915304447773,0.4132029339853301,2.265165524144615e-05
U2AF1,9,0.0001840872756061102,0.03258489557552496,0.42462311557788945,2.0454141734012243e-05
ABCB1,3,5.929461084695036e-05,0.007042512207497782,0.36980306345733044,1.9764870282316785e-05
HOXD13,3,5.808750204569016e-05,0.008474044297739373,0.37142857142857144,1.9362500681896718e-05
FLT1,4,7.393318729631019e-05,0.008592651186814728,0.38235294117647056,1.8483296824077547e-05
HLTF,10,0.0001708478237006248,0.0454887746837282,0.45187165775401067,1.708478237006248e-05
ABR,3,5.110194860604025e-05,0.009682657651633566,0.4004739336492891,1.7033982868680084e-05
DERL1,5,8.46587574606946e-05,0.018437998106195723,0.4072289156626506,1.693175149213892e-05
MECOM,13,0.00021823754942648129,0.053393770881358646,0.44473684210526315,1.6787503802037022e-05
XRCC2,3,4.964228762199367e-05,0.004781159896719782,0.34210526315789475,1.6547429207331222e-05
BCL2L10,2,3.130772361541592e-05,0.0020809421786322627,0.32625482625482627,1.565386180770796e-05
PARK7,15,0.0002111633286371203,0.06858160131385091,0.465564738292011,1.4077555242474688e-05
BRIP1,8,0.000112283926803117,0.024434831096789022,0.3976470588235294,1.4035490850389624e-05
CDKN2B,7,9.66401952296136e-05,0.02771523324266322,0.43333333333333335,1.3805742175659086e-05
MRPL28,5,6.474173854059425e-05,0.022510001879202355,0.41728395061728396,1.294834770811885e-05
CDKN1C,6,7.508136888062175e-05,0.02301318321031873,0.42355889724310775,1.2513561480103624e-05
DCK,6,7.451826075359262e-05,0.027192287466293045,0.4412532637075718,1.241971012559877e-05
NDEL1,4,4.404046759598447e-05,0.010309531923452436,0.38148984198645597,1.1010116898996118e-05
SLX4,5,5.213690227933129e-05,0.018672911087343605,0.4014251781472684,1.0427380455866257e-05
FANCE,8,7.890693105201993e-05,0.021080267044267593,0.4033412887828162,9.86336638150249e-06
GORASP1,2,1.90841808923953e-05,0.006180231473205586,0.3665943600867679,9.54209044619765e-06
RAP1GAP,5,4.523923877876809e-05,0.01858268388263419,0.4278481012658228,9.047847755753618e-06
ROBO2,2,1.5599961377867686e-05,0.007504737167902828,0.3840909090909091,7.799980688933843e-06
GFI1,3,2.045127784772755e-05,0.010072071510723805,0.3706140350877193,6.8170926159091835e-06
PRDM16,8,3.835937489231154e-05,0.03275241148633234,0.3976470588235294,4.7949218615389425e-06
TET2,8,3.695709156894748e-05,0.03903679716567107,0.4482758620689655,4.619636446118435e-06
WT1,5,1.578930492211781e-05,0.023985580427180193,0.4256926952141058,3.157860984423562e-06
MVD,2,3.91346545192699e-06,0.007482189892465879,0.3681917211328976,1.956732725963495e-06
LSM2,5,9.043823871530102e-06,0.023759237314943157,0.4082125603864734,1.8087647743060204e-06
TOR1A,2,3.062712092812427e-06,0.00909387209706411,0.3789237668161435,1.5313560464062136e-06
FANCF,7,6.7562585173179704e-06,0.0193661704678014,0.39952718676122934,9.651797881882815e-07
LINC01194,2,1.8537467930180479e-06,0.011447067322344559,0.4052757793764988,9.268733965090239e-07
ABCG2,3,0.0,0.014394214095077719,0.4082125603864734,0.0
CAMP,1,0.0,0.002067023249506067,0.33072407045009783,0.0
ISG20,1,0.0,0.0003121883431226115,0.28547297297297297,0.0
CD14,1,0.0,0.00010535254807255378,0.25840978593272174,0.0
ESPL1,1,0.0,0.006118657833367496,0.38063063063063063,0.0
DNAI1,2,0.0,0.009545387125271887,0.3930232558139535,0.0
PDIK1L,1,0.0,0.005217349629991674,0.36980306345733044,0.0
SLC12A9,1,0.0,0.006118657833367496,0.38063063063063063,0.0
IL2RA,1,0.0,0.0010958981633212529,0.29858657243816256,0.0
EPO,1,0.0,0.0034267292919044562,0.3470225872689938,0.0
DPH1,2,0.0,0.012569319435158235,0.41421568627450983,0.0
CD33,1,0.0,0.0016384288948720906,0.325626204238921,0.0
MIR21,1,0.0,0.0027349821518457486,0.3320235756385069,0.0
CD38,1,0.0,0.0016384288948720906,0.325626204238921,0.0
SGCE,1,0.0,0.0016384288948720906,0.325626204238921,0.0
CCL28,1,0.0,0.0030582066317186764,0.3414141414141414,0.0
MSC,1,0.0,0.0009392942094646483,0.3083941605839416,0.0
MT1E,1,0.0,0.003923066917340458,0.3470225872689938,0.0
PLCB1,3,0.0,0.002952969583898552,0.3373253493013972,0.0
BAALC,1,0.0,0.0013396650506234669,0.3141263940520446,0.0
GZMB,1,0.0,0.004036089512993239,0.35355648535564854,0.0
MMP1,1,0.0,0.001777826826826906,0.32007575757575757,0.0
MMP9,1,0.0,0.00044213373941708083,0.28888888888888886,0.0
