,Degree,Betweenness,Eigenvector Centrality,Closeness Centrality,Ratio Btw/Degree
DERL1,2,4.442667377493447e-05,0.006375350081185,0.28941176470588237,2.2213336887467235e-05
FANCF,7,8.066586216311045e-05,0.07951694367947196,0.3867924528301887,1.1523694594730064e-05
ROBO2,1,0.0,0.005773084887311132,0.2935560859188544,0.0
EPO,1,0.0,0.011564996641060622,0.3219895287958115,0.0
DPH1,1,0.0,0.024308882733912237,0.36826347305389223,0.0
WNK1,1,0.0,0.0015216673964625544,0.25732217573221755,0.0
PLCB1,3,0.0,0.016627339586548714,0.31865284974093266,0.0
CAMP,1,0.0,0.007555556960020914,0.30445544554455445,0.0
MIR21,1,0.0,0.005529183639091762,0.2971014492753623,0.0
HLTF,1,0.0,0.02098614153263385,0.3426183844011142,0.0
MSC,1,0.0,0.004727350276467524,0.2963855421686747,0.0
SGCE,1,0.0,0.01055372158353666,0.3178294573643411,0.0
CD38,1,0.0,0.01055372158353666,0.3178294573643411,0.0
CD33,1,0.0,0.01055372158353666,0.3178294573643411,0.0
CDKN2B,3,0.0,0.045965173489107836,0.38080495356037153,0.0
ABCB1,2,0.0,0.011128014422754755,0.32114882506527415,0.0
DCK,1,0.0,0.012332248910929391,0.3137755102040816,0.0
MMP9,1,0.0,5.905134987180322e-05,0.19554848966613672,0.0
DNAI1,1,0.0,0.011564996641060622,0.3219895287958115,0.0
GORASP1,1,0.0,0.01226840742868747,0.3271276595744681,0.0
ABCG2,1,0.0,0.010917403485994199,0.3194805194805195,0.0
NDEL1,2,0.0,0.0028255517688621414,0.2668112798264642,0.0
BAALC,1,0.0,0.006678646138365157,0.3,0.0
UBE2T,4,0.0,0.048254107425633186,0.3494318181818182,0.0
GEM,1,0.0,0.004727350276467524,0.2963855421686747,0.0
ISG20,1,0.0,0.0015090467256203832,0.24798387096774194,0.0
GATA2,1,0.0,0.0015450014863280957,0.25949367088607594,0.0
CDKN1C,3,0.0,0.04484349947602389,0.38198757763975155,0.0
CCL28,1,0.0,0.010917403485994199,0.3194805194805195,0.0
IL2RA,1,0.0,0.0015338359343347494,0.25625,0.0
MMP1,1,0.0,0.006724890243104822,0.3,0.0
MVD,1,0.0,0.012787254475834916,0.3297587131367292,0.0
GFI1,1,0.0,0.013540117441106938,0.32887700534759357,0.0
